document_title,document_text,question_text,yes_no_answer,short_answer1,short_answer2,short_answer3,short_answer4,short_answer5,short_answer6,short_answer7,short_answer8,short_answer9,short_answer10,short_answer11,short_answer12,short_answer13,short_answer14,short_answer15,short_answer16,short_answer17,short_answer18,short_answer19,short_answer20,short_answer21,short_answer22,short_answer23
Transtheoretical model,,who invented the transtheoretical model of behavior change,NONE,360-376,,,,,,,,,,,,,,,,,,,,,,
The Princess Diaries soundtracks,,who sings love me tender in princess diaries 2,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Chicago Bears starting quarterbacks,,who was the chicago bears quarterback last year,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of lieutenant generals in the United States Army before 1960,,list of lieutenant generals in the united states army,NONE,,,,,,,,,,,,,,,,,,,,,,,
lac operon,,what the role of the protein encoded by the lacz gene,NONE,,,,,,,,,,,,,,,,,,,,,,,
Das Lied von der Erde,,das lied von der erde german text and english translation,NONE,,,,,,,,,,,,,,,,,,,,,,,
Super Bowl LII,,where are they playing the superbowl at this year,NONE,,,,,,,,,,,,,,,,,,,,,,,
2018 Australian Grand Prix,,who has won the 2018 formula one australia grand prix tournament,NONE,228-230,,,,,,,,,,,,,,,,,,,,,,
Triangle,,how is a triangle a special kind of polygon,NONE,,,,,,,,,,,,,,,,,,,,,,,
United States Postal Service,,the president of the united states has the power to lead the us postal service,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of The Flash episodes,,what was the last episode of the flash,NONE,20093-20097,,,,,,,,,,,,,,,,,,,,,,
Arizona's 9th congressional district,,who represents the arizona 9th district in the house,NONE,52-59,,,,,,,,,,,,,,,,,,,,,,
Are You Smarter than a 5th Grader? (U.S. game show),,when did are you smarter than a 5th grader first air,NONE,433-439,,,,,,,,,,,,,,,,,,,,,,
First Punic War,,leader of carthage in the first punic war,NONE,,,,,,,,,,,,,,,,,,,,,,,
Common myna,,where did the indian myna bird come from,NONE,242-243,,,,,,,,,,,,,,,,,,,,,,
Timeline of the flag of the United States,,when was the 50th star added to the united states flag,NONE,1690-1691,,,,,,,,,,,,,,,,,,,,,,
Henry Moseley,,who was the famous scientist that ran the research lab moseley went to in manchester,NONE,764-767,,,,,,,,,,,,,,,,,,,,,,
Come Fly with Me (2010 TV series),,when did come fly with me come out,NONE,,,,,,,,,,,,,,,,,,,,,,,
Avatar: The Last Airbender,,when did avatar the last airbender first air,NONE,2574-2578,,,,,,,,,,,,,,,,,,,,,,
Ummah,,islamic term for the community of the faithful,NONE,82-86,,,,,,,,,,,,,,,,,,,,,,
Flag of the United States,,how many blue stripes are on the american flag,NONE,,,,,,,,,,,,,,,,,,,,,,,
Government of Florida,,what tools do floridians have to monitor current issues and the actions of public officials,NONE,,,,,,,,,,,,,,,,,,,,,,,
Zen and the Art of Motorcycle Maintenance,,zen and the art of motorcycle maintenance buddhism,NONE,,,,,,,,,,,,,,,,,,,,,,,
Jah,,where can jah be found in the bible,NONE,,,,,,,,,,,,,,,,,,,,,,,
River Thames,,where did the river thames start and end,NONE,164-170,241-250,,,,,,,,,,,,,,,,,,,,,
Vento Aureo,,when does part 5 of jojo take place,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of members of the Quorum of the Twelve Apostles (LDS Church),,who has been an apostle the longest lds,NONE,,,,,,,,,,,,,,,,,,,,,,,
Octopus,,what group of animals do octopus belong to,NONE,,,,,,,,,,,,,,,,,,,,,,,
It (2017 film),,when did the second it movie come out,NONE,,,,,,,,,,,,,,,,,,,,,,,
-ase,,suffix applied to the end of the name of enzymes,NONE,87-89,,,,,,,,,,,,,,,,,,,,,,
Joint Session of Indian Parliament,,who can attend the meeting of both houses of parliament without being a member,NONE,,,,,,,,,,,,,,,,,,,,,,,
Banksy,,when does it get dark in new york december,NONE,,,,,,,,,,,,,,,,,,,,,,,
AARP,,what does aarp do with all the money it raises,NONE,,,,,,,,,,,,,,,,,,,,,,,
Dawn of the Planet of the Apes,,who plays caesar planet of the apes 2014,NONE,1548-1550,,,,,,,,,,,,,,,,,,,,,,
Miniature (alcohol),,how many ounces in a mini bottle of liquor,NONE,,,,,,,,,,,,,,,,,,,,,,,
Say Uncle,,where did the term call uncle come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Taylor Momsen,,who is the girl who played in the grinch,NONE,177-180,,,,,,,,,,,,,,,,,,,,,,
List of United States cities by population,,what us cities have a population of 1 million,NONE,,,,,,,,,,,,,,,,,,,,,,,
Citizen Khan,,when does the new series of citizen khan start,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of people from Kolkata,,nobel laureate who began career as accountant in calcutta,NONE,796-798,,,,,,,,,,,,,,,,,,,,,,
The Waltons,,when did the tv show the waltons first air,NONE,605-607,,,,,,,,,,,,,,,,,,,,,,
Inside Out & Back Again,,how many pages are in the book inside out and back again,NONE,106-107,,,,,,,,,,,,,,,,,,,,,,
Dewey Decimal Classification,,where did the dewey decimal system come from,NONE,52-63,,,,,,,,,,,,,,,,,,,,,,
Miller Lite,,what was the first light beer in the us,NONE,,,,,,,,,,,,,,,,,,,,,,,
Docket (court),,how do federal courts calendar and docket cases,NONE,,,,,,,,,,,,,,,,,,,,,,,
All I Want for Christmas Is You,,who sings the christmas song all i want for christmas is you,NONE,376-378,,,,,,,,,,,,,,,,,,,,,,
90th Academy Awards,,what are the movies up for oscars 2018,NONE,,,,,,,,,,,,,,,,,,,,,,,
Sarah,,who had a baby at 100 in the bible,NONE,1103-1104,,,,,,,,,,,,,,,,,,,,,,
Stanley Cup Finals,,who won the most stanley cups in history,NONE,3510-3512,,,,,,,,,,,,,,,,,,,,,,
Why Don't We,,who is the producer of why dont we,NONE,,,,,,,,,,,,,,,,,,,,,,,
All-time Olympic Games medal table,,country with most olympic gold medals all time,NONE,7747-7749,,,,,,,,,,,,,,,,,,,,,,
Things That Make You Go Hmmm...,,when did the song things that make you go hmmm come out,NONE,69-73,,,,,,,,,,,,,,,,,,,,,,
London Bridge Is Falling Down,,what is the story behind the nursery rhyme london bridge,NONE,,,,,,,,,,,,,,,,,,,,,,,
Gulfstream G650,,how much does a new gulfstream g650 cost,NONE,116-120,,,,,,,,,,,,,,,,,,,,,,
Judges of the International Court of Justice,,supreme court judge who served in the international court of justice,NONE,,,,,,,,,,,,,,,,,,,,,,,
Emancipation Proclamation,,what state's proclamation provided a basis for the declaration of independence,NONE,,,,,,,,,,,,,,,,,,,,,,,
Clemson Tigers football,,when was the last time clemson won the national championship,NONE,504-505,,,,,,,,,,,,,,,,,,,,,,
List of The Glades episodes,,how many seasons of the glades were made,NONE,120-121,,,,,,,,,,,,,,,,,,,,,,
Cat (zodiac),,when is the year of the cat in chinese zodiac,NONE,,,,,,,,,,,,,,,,,,,,,,,
Michigan Wolverines men's basketball,,where does michigan play in the sweet sixteen,NONE,,,,,,,,,,,,,,,,,,,,,,,
New Jersey Plan,,facts about the virginia plan and the new jersey plan,NONE,,,,,,,,,,,,,,,,,,,,,,,
Criminal Minds (season 8),,who died in season 8 of criminal minds,NONE,,,,,,,,,,,,,,,,,,,,,,,
Chlorofluorocarbon,,when was the problem of cfc's discovered,NONE,2694-2696,,,,,,,,,,,,,,,,,,,,,,
Electromagnetic spectrum,,what is the wavelength of the electromagnetic wave,NONE,2049-2078,,,,,,,,,,,,,,,,,,,,,,
List of American Idol alumni album sales in the United States,,who has sold more albums kelly or carrie,NONE,303-305,,,,,,,,,,,,,,,,,,,,,,
1994 NCAA Division I Men's Basketball Tournament,,who won the ncaa basketball championship in 1994,NONE,356-357,,,,,,,,,,,,,,,,,,,,,,
Peter Piper,,meaning of peter piper picked a peck of pickled peppers,NONE,,,,,,,,,,,,,,,,,,,,,,,
Jack Mormon,,where does the term jack mormon come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
NBA regular season records,,most consecutive games with 20+ points - nba history,NONE,,,,,,,,,,,,,,,,,,,,,,,
Physiology,,who used the word physiology for the first time,NONE,681-683,,,,,,,,,,,,,,,,,,,,,,
Hell's Kitchen (U.S. season 5),,who won season 5 of hell's kitchen,NONE,195-199,,,,,,,,,,,,,,,,,,,,,,
Emma Swan,,who is emma dating in once upon a time,NONE,,,,,,,,,,,,,,,,,,,,,,,
Anything You Can Do (I Can Do Better),,song i can do anything better than you can,NONE,,,,,,,,,,,,,,,,,,,,,,,
"You're either with us, or against us",,who is not against us is for us,NONE,,,,,,,,,,,,,,,,,,,,,,,
Media of Canada,,what is the role of media in the canadian federal government,NONE,,,,,,,,,,,,,,,,,,,,,,,
Ab Tumhare Hawale Watan Saathiyo,,star cast of ab tumhare hawale watan sathiyon,NONE,244-246,247-249,250-252,253-256,257-259,260-261,,,,,,,,,,,,,,,,,
Country Music Association Awards,,who has won the cma entertainer of the year the most,NONE,,,,,,,,,,,,,,,,,,,,,,,
Coming to America,,who played the jewish man in coming to america,NONE,1113-1115,,,,,,,,,,,,,,,,,,,,,,
List of most-followed Instagram accounts,,who is the most followed user on instagram 2017,NONE,,,,,,,,,,,,,,,,,,,,,,,
National Invitation Tournament,,when did the ncaa tournament became more important than the nit,NONE,1779-1782,,,,,,,,,,,,,,,,,,,,,,
Dead Poets Society,,dead poets society where does it take place,NONE,252-260,,,,,,,,,,,,,,,,,,,,,,
The Way of the World,,summary of the drama the way of the world,NONE,,,,,,,,,,,,,,,,,,,,,,,
Lego DC Comics Super Heroes: The Flash,,lego dc comics super heroes the flash age rating,NONE,,,,,,,,,,,,,,,,,,,,,,,
Andrew Harrison (basketball),,who were the twins that played for kentucky,NONE,272-275,338-340,,,,,,,,,,,,,,,,,,,,,
"Theme from New York, New York",,when did frank sinatra first sing new york new york,NONE,534-535,,,,,,,,,,,,,,,,,,,,,,
4Matic,,is 4matic the same as 4 wheel drive,NONE,,,,,,,,,,,,,,,,,,,,,,,
Sister Wives,,who is the first wife on sister wives,NONE,636-637,,,,,,,,,,,,,,,,,,,,,,
Under Pressure,,play under pressure by queen and david bowie,NONE,,,,,,,,,,,,,,,,,,,,,,,
Benue State,,list of local government area in benue state,NONE,3693-3694,3701-3702,3709-3710,3717-3718,3725-3726,3733-3734,3741-3743,3750-3752,3759-3762,3771-3772,3781-3782,3789-3790,3797-3798,3805-3806,3815-3816,3823-3824,3831-3832,3841-3842,3849-3850,3857-3858,3865-3866,3873-3874,3881-3882
Russian culture,,much of the character of russian tsarist rule comes from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Chinese Buddhism,,an influential religion to enter china along the silk route during the han dynasty was,NONE,,,,,,,,,,,,,,,,,,,,,,,
One of These Nights (song),,who sang the song one of these nights,NONE,286-290,,,,,,,,,,,,,,,,,,,,,,
Dancing with the Stars (U.S. season 16),,who won season 16 on dancing with the stars,NONE,123-125,133-135,,,,,,,,,,,,,,,,,,,,,
Hail Mary pass,,where did the term hail mary in football come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Hershey–Chase experiment,,what was the key factor that allowed hershey and chase,NONE,310-320,,,,,,,,,,,,,,,,,,,,,,
United States customary units,,what kind of metric system does the us use,NONE,,,,,,,,,,,,,,,,,,,,,,,
Education in South Korea,,what time do korean students go to school,NONE,,,,,,,,,,,,,,,,,,,,,,,
Death of Caroline Byrne,,the killing of caroline byrne a journey to justice,NONE,,,,,,,,,,,,,,,,,,,,,,,
Monarch High School (Florida),,how many students does monarch high school have,NONE,220-226,,,,,,,,,,,,,,,,,,,,,,
European–African–Middle Eastern Campaign Medal,,european african middle eastern campaign medal with 3 stars,NONE,,,,,,,,,,,,,,,,,,,,,,,
Your Love (The Outfield song),,who sings i just want to use your love tonight,NONE,,,,,,,,,,,,,,,,,,,,,,,
Viral video,,how many views does it take to go viral on facebook,NONE,,,,,,,,,,,,,,,,,,,,,,,
It's a Long Way to the Top (If You Wanna Rock 'n' Roll),,acdc it's a long way to the top if you want to rock and roll,NONE,,,,,,,,,,,,,,,,,,,,,,,
My Name Is Earl (season 4),,how many episodes in my name is earl season 4,NONE,63-64,,,,,,,,,,,,,,,,,,,,,,
Calendar year,,how many weeks are in the first quarter of 2018,NONE,,,,,,,,,,,,,,,,,,,,,,,
We Shall Overcome: The Seeger Sessions,,bruce springsteen we shall overcome the seeger sessions songs,NONE,,,,,,,,,,,,,,,,,,,,,,,
South Park: The Fractured but Whole,,south park fractured but whole number of days,NONE,,,,,,,,,,,,,,,,,,,,,,,
La Futura,,zz top i gotsta get paid video credits,NONE,,,,,,,,,,,,,,,,,,,,,,,
Demetrius (A Midsummer Night's Dream),,who does demetrius love in a midsummer night dream,NONE,156-157,,,,,,,,,,,,,,,,,,,,,,
Awesome God,,who sang our god is an awesome god,NONE,,,,,,,,,,,,,,,,,,,,,,,
Pygostyle,,where does the term parsons nose come from,NONE,,,,,,,,,,,,,,,,,,,,,,,
Where the Heart Is (2000 film),,forney's sister in where the heart is,NONE,681-683,,,,,,,,,,,,,,,,,,,,,,
Right to education,,education is a right which must be protected,NONE,,,,,,,,,,,,,,,,,,,,,,,
The Darling Buds of May (TV series),,who played the twins in darling buds of may,NONE,,,,,,,,,,,,,,,,,,,,,,,
Cortisol,,where does cortisol come from in the body,NONE,604-615,,,,,,,,,,,,,,,,,,,,,,
Where Am I Going?,,where am i and where am i going,NONE,,,,,,,,,,,,,,,,,,,,,,,
Marvel vs. Capcom,,when did the first marvel vs capcom come out,NONE,,,,,,,,,,,,,,,,,,,,,,,
History of Texas,,complete the timeline of significant events in the history of political parties in texas,NONE,,,,,,,,,,,,,,,,,,,,,,,
Bill of rights,,in 1973 the first patient bill of rights was established,NONE,,,,,,,,,,,,,,,,,,,,,,,
Flag of Vietnam,,what flag is red and has a gold star,NONE,325-329,,,,,,,,,,,,,,,,,,,,,,
Poverty,,who are the poor and what are their economic characteristics,NONE,,,,,,,,,,,,,,,,,,,,,,,
Metanoia (theology),,what is the meaning of the greek word metanoia,NONE,,,,,,,,,,,,,,,,,,,,,,,
Cremaster muscle,,when it is cold the cremaster muscle relaxes and the testicles are lowered away from the body,NONE,,,,,,,,,,,,,,,,,,,,,,,
Himachal Pradesh,,why do you think the state of himachal pradesh has been given the name himachal,NONE,,,,,,,,,,,,,,,,,,,,,,,
Philippine presidential line of succession,,who will be the next in line if vice mayor dies,NONE,,,,,,,,,,,,,,,,,,,,,,,
Terry's Chocolate Orange,,how many pieces in a terry's chocolate orange,NONE,554-555,,,,,,,,,,,,,,,,,,,,,,
Human skeleton,,what are the functions of the human skeleton,NONE,,,,,,,,,,,,,,,,,,,,,,,
History of media studies,,when did the study of media effects begin,NONE,406-407,,,,,,,,,,,,,,,,,,,,,,
I Won't Back Down,,tom petty i won't back down official video,NONE,,,,,,,,,,,,,,,,,,,,,,,
Ready Player One,,what is the oasis in ready player one,NONE,491-506,,,,,,,,,,,,,,,,,,,,,,
Steptoe and Son,,what was the name of the horse in steptoe and son,NONE,1149-1150,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,,when did the golden state warriors win the finals,NONE,402-403,404-405,406-407,408-409,410-411,,,,,,,,,,,,,,,,,,
List of One Piece episodes (seasons 15–current),,when is new one piece episodes coming out,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of Olympic medalists in figure skating,,who won the gold medal in the figure skating,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of accolades received by The Wolf of Wall Street (2013 film),,who won the oscar over wolf of wall street,NONE,,,,,,,,,,,,,,,,,,,,,,,
Call of Duty: Strike Team,,call of duty strike team offline or online,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of presidents of the United States by age,,who was the youngest president to be elected,NONE,349-351,,,,,,,,,,,,,,,,,,,,,,
Tomb of the Unknown Soldier (Arlington),,who is buried in the tomb of the unknown soldiers,NONE,,,,,,,,,,,,,,,,,,,,,,,
Glycosidic bond,,what is the difference between alpha and beta glycosidic linkages,NONE,,,,,,,,,,,,,,,,,,,,,,,
National Film Award for Best Actor,,which indian actor has won most national awards,NONE,475-477,,,,,,,,,,,,,,,,,,,,,,
The Young and the Restless,,when was the young and the restless first aired,NONE,570-574,,,,,,,,,,,,,,,,,,,,,,
Lionel Messi,,when did lionel messi play his first game for barcelona,NONE,,,,,,,,,,,,,,,,,,,,,,,
"Gulf Breeze, Florida",,where is gulf breeze fl on the map,NONE,586-609,,,,,,,,,,,,,,,,,,,,,,
Chair of the Federal Reserve,,what does the chair of the federal reserve do,NONE,,,,,,,,,,,,,,,,,,,,,,,
"List of Ed, Edd n Eddy characters",,the boards name on ed edd and eddy,NONE,127-128,,,,,,,,,,,,,,,,,,,,,,
List of insurance companies in India,,total no. of general insurance companies in india,NONE,,,,,,,,,,,,,,,,,,,,,,,
Information system,,what are the types of information system application,NONE,,,,,,,,,,,,,,,,,,,,,,,
List of national anthem performers at the Super Bowl,,who sang national anthem at the super bowl,NONE,1515-1516,,,,,,,,,,,,,,,,,,,,,,
Hysteresis,,the area enclosed by hysteresis loop is a measure of,NONE,,,,,,,,,,,,,,,,,,,,,,,
United States Secretary of State,,what is the salary of us secretary of state,NONE,407-408,,,,,,,,,,,,,,,,,,,,,,
Forbes' list of the most valuable football clubs,,most fan following football club in the world,NONE,,,,,,,,,,,,,,,,,,,,,,,
Patient Self-Determination Act,,the patient self-determination act (psda) mandates that,NONE,60-104,,,,,,,,,,,,,,,,,,,,,,
Who's Gonna Fill Their Shoes,,george jones who's gonna fill their shoes meaning,NONE,,,,,,,,,,,,,,,,,,,,,,,
Constitution of India,,constitution of india published by government of india,NONE,,,,,,,,,,,,,,,,,,,,,,,
"Virginia Beach, Virginia",,where is virginia beach located on a map,NONE,457-470,,,,,,,,,,,,,,,,,,,,,,
Game of Thrones (season 7),,how many episodes in game if thrones season 7,NONE,197-198,,,,,,,,,,,,,,,,,,,,,,
List of Academy Award-winning families,,who are the only 2 families that have had 3 generations of oscar winners,NONE,,,,,,,,,,,,,,,,,,,,,,,
Head to Toe,,think i love you from head to toe,NONE,,,,,,,,,,,,,,,,,,,,,,,
Great Wall of China,,were the first stages of the great wall of china built as early as the 5th century bc,NO,,,,,,,,,,,,,,,,,,,,,,,
Chemical equilibrium,,when is equilibrium reached in a chemical reaction,NONE,,,,,,,,,,,,,,,,,,,,,,,
I'm Like a Bird,,when did i'm like a bird come out,NONE,86-90,,,,,,,,,,,,,,,,,,,,,,
Spanish conquest of the Aztec Empire,,who was the aztec ruler when the spanish arrived,NONE,1674-1676,,,,,,,,,,,,,,,,,,,,,,
Pat Walshe,,who plays nikko in the wizard of oz,NONE,,,,,,,,,,,,,,,,,,,,,,,
Lost & Found Music Studios,,will there be a third season of lost and found music studios,NONE,,,,,,,,,,,,,,,,,,,,,,,
United States territorial acquisitions,,what happened in the philippines after the united states annexed it as a territory,NONE,,,,,,,,,,,,,,,,,,,,,,,
Always on Time,,always there when i call always on time,NONE,,,,,,,,,,,,,,,,,,,,,,,
We Real Cool,,the pool players seven at the golden shovel meaning,NONE,,,,,,,,,,,,,,,,,,,,,,,
United States Attorney General,,what is the role of the us attorney general,NONE,220-251,,,,,,,,,,,,,,,,,,,,,,
List of locations in Pirates of the Caribbean,,where was the pirates of the caribbean filmed,NONE,,,,,,,,,,,,,,,,,,,,,,,
Washington Union Station,,where is union station in washington dc located,NONE,,,,,,,,,,,,,,,,,,,,,,,
Methodism,,where did the methodist church get its name,NONE,1292-1311,,,,,,,,,,,,,,,,,,,,,,
Mission Nuestra Señora de la Soledad,,who founded mission nuestra senora de la soledad,NONE,300-303,,,,,,,,,,,,,,,,,,,,,,
Now You See Me (film),,characters in the movie now you see me,NONE,,,,,,,,,,,,,,,,,,,,,,,
